cement_opc,scm_flyash,scm_ggbs,crushed_sand,w_b,hrwr_b,perc_of_fibre,fiber_length,fiber_diameter,tensile_strength,density,youngs_modulus,No_of_days_of_NaCl_Exposure,compressive_stregth
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,30,53.71
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,60,54.83
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,90,55.79
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,120,57.51
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,150,59.44
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,180,61.25
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,210,62.76
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,240,63.33
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,270,63.81
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,300,64.73
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,330,65.12
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,360,65.61
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,390,66.27
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,420,66.89
