cement_opc,scm_flyash,scm_ggbs,crushed_sand,w_b,hrwr_b,perc_of_fibre,fiber_length,fiber_diameter,tensile_strength,density,youngs_modulus,No_of_days_of_NaCl_Exposure,compressive_stregth
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,30,51.46
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,60,50.96
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,90,50.59
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,120,50.07
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,150,49.73
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,180,49.52
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,210,49.35
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,240,48.98
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,270,48.87
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,300,48.72
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,330,48.23
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,360,48.07
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,390,47.33
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,420,47.83
