iter	RMSE
0	5.719545331
1	5.303793102
2	5.042937658
3	4.673621019
4	4.31594345
5	4.003277068
6	3.744651158
7	3.669293798
8	3.463952643
9	3.186953848
10	2.927393769
11	2.814374933
12	2.624743483
13	2.392614391
14	2.328789112
15	2.146248469
16	1.993112694
17	1.840877098
18	1.69946591
19	1.569130841
20	1.543378463
21	1.432241525
22	1.3441812
23	1.274334872
24	1.199441633
25	1.132466386
26	1.059794564
27	1.040688704
28	0.9713483976
29	0.9085319318
30	0.8499236017
31	0.8044711523
32	0.7677033003
33	0.7298429871
34	0.7152841769
35	0.6769364005
36	0.6636575736
37	0.632262328
38	0.6038697364
39	0.5832178827
40	0.5597352922
41	0.5472861546
42	0.5233895135
43	0.5066482771
44	0.4915340986
45	0.4755679014
46	0.4627530325
47	0.4530044222
48	0.4447276085
49	0.4366456314
50	0.4136100099
51	0.3958152595
52	0.3791877923
53	0.3636589825
54	0.3494855195
55	0.343769703
56	0.3307628847
57	0.315472584
58	0.3039055065
59	0.2994253433
60	0.2888212397
61	0.2767141687
62	0.2730160764
63	0.2641662505
64	0.2557392014
65	0.2525819264
66	0.2450262051
67	0.24217378
68	0.2344067651
69	0.2317615441
70	0.229303325
71	0.2227932648
72	0.2205846614
73	0.2185305827
74	0.2166197507
75	0.2096781556
76	0.2078865732
77	0.2062172343
78	0.2046618707
79	0.203212809
80	0.1966811281
81	0.1953136215
82	0.1940386778
83	0.1928502902
84	0.1867007588
85	0.1855750047
86	0.1803483642
87	0.175519792
88	0.1714842449
89	0.1677120483
90	0.1642930672
91	0.1612438125
92	0.1585218947
93	0.1537985041
94	0.1514087714
95	0.1499323495
96	0.1455169733
97	0.1441102464
98	0.1399441146
99	0.1382103045
