iter	Passed	Remaining
0	0	67
1	0	47
2	1	40
3	1	37
4	1	33
5	2	32
6	2	31
7	2	29
8	2	29
9	3	30
10	3	29
11	3	29
12	4	29
13	4	28
14	4	27
15	5	26
16	5	26
17	5	25
18	5	24
19	6	24
20	6	23
21	6	22
22	6	22
23	7	22
24	7	21
25	7	21
26	7	21
27	7	20
28	8	20
29	8	19
30	8	19
31	9	19
32	9	19
33	9	18
34	10	18
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	16
41	12	16
42	12	16
43	12	15
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	14
51	14	13
52	15	13
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	18	12
60	18	11
61	18	11
62	19	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	21	9
70	21	8
71	22	8
72	22	8
73	22	7
74	23	7
75	23	7
76	23	7
77	24	6
78	24	6
79	24	6
80	25	5
81	25	5
82	25	5
83	25	4
84	26	4
85	26	4
86	27	4
87	27	3
88	27	3
89	28	3
90	28	2
91	28	2
92	29	2
93	29	1
94	29	1
95	29	1
96	29	0
97	30	0
98	30	0
99	30	0
