Dataset,Model,R²,RMSE,MAE,CV_R²_mean,CV_R²_std
NaCl,Linear Regression,0.951808608150086,0.3112650025793794,0.21726963962721868,,
NaCl,Ridge,0.9525291173963125,0.3089293790201212,0.2160783712067044,,
NaCl,Lasso,0.9515178536253706,0.31220257263099244,0.23407831489535055,,
NaCl,Elastic Net,0.9522066236677321,0.3099769596493339,0.22625183059525114,,
NaCl,Bayesian Ridge,0.9523053888381688,0.3096565098043185,0.2202800011801088,,
NaCl,Random Forest,0.89940749686637,0.44970567263486383,0.34659999999997526,,
NaCl,Extra Trees,0.9323278207755569,0.3688507231929871,0.2674799999999891,,
NaCl,AdaBoost,0.9194405204830786,0.4024425424827744,0.37199999999999844,,
NaCl,XGBoost,0.8852582348597516,0.4802930712685341,0.38404089355468757,,
NaCl,LightGBM,-0.07224558187863539,1.468225257796666,1.2522221510145415,,
NaCl,CatBoost,0.9356708512917727,0.35962465673110994,0.26655784598623455,,
NaCl,SVR,0.736925420220321,0.7272521283380741,0.46977149601635515,,
NaCl,Gaussian Process,0.18769421841836142,1.2779248943200816,1.0392195993415214,,
Water,Linear Regression,0.9343426738890679,0.8624532128802371,0.5787921379972858,,
Water,Ridge,0.6944583711638754,1.8604977240212057,1.0806301033639911,,
Water,Lasso,0.6707599898920824,1.9313022724243938,1.1056926644628333,,
Water,Elastic Net,0.6781621199376373,1.9094686294333352,1.0997265578474953,,
Water,Bayesian Ridge,0.6646341567915361,1.9491863539917724,1.1105172494933413,,
Water,Random Forest,0.551575208334355,2.2539213420170836,1.1324400000000154,,
Water,Extra Trees,0.6390655738630945,2.0221254817641987,1.0452400000000324,,
Water,AdaBoost,0.6295771417958873,2.0485324015011344,1.1310000000000002,,
Water,XGBoost,0.6282705058689331,2.052142235075196,1.1753968811035136,,
Water,LightGBM,-0.06172426112427565,3.468165542292906,2.1686664428710927,,
Water,CatBoost,0.616449430541001,2.0845161502243945,1.130806680951237,,
Water,SVR,0.1826337166633023,3.043002490429189,1.4091852671603675,,
Water,Gaussian Process,0.3035435826511149,2.808930026242991,2.266514725337018,,
Na2SO4,Linear Regression,0.9911958012950807,0.43509833029969314,0.4075331912272759,,
Na2SO4,Ridge,0.9817553783419195,0.6263396852004749,0.5014759279690082,,
Na2SO4,Lasso,0.9835816939297357,0.5941644623232433,0.4848123589495529,,
Na2SO4,Elastic Net,0.982682703321737,0.6102145341059985,0.49301825684669753,,
Na2SO4,Bayesian Ridge,0.9826720305053717,0.6104025456829488,0.49310203319179635,,
Na2SO4,Random Forest,0.9710554880072398,0.7889066459347229,0.6035199999999904,,
Na2SO4,Extra Trees,0.9858525325472108,0.551546141315465,0.4005800000000022,,
Na2SO4,AdaBoost,0.9506369177926235,1.0302523962602566,0.8859999999999999,,
Na2SO4,XGBoost,0.9354819394141852,1.1778314617153882,1.0978276062011716,,
Na2SO4,LightGBM,-0.07391205630828424,4.80537027751305,4.1979997762044245,,
Na2SO4,CatBoost,0.9717612817889092,0.7792287876774127,0.7128971410605658,,
Na2SO4,SVR,0.4486728074885863,3.4430807276110937,2.4486839610640927,,
Na2SO4,Gaussian Process,0.40464066864534254,3.577931990972519,2.092194044525942,,
Combined,Linear Regression,-0.32645102299751594,6.988101856060826,5.609030891360021,-0.12181436895456274,0.288628267937369
Combined,Ridge,-0.297954238182238,6.912629930043219,5.5682719601584925,-0.08652236913564773,0.29348600913078904
Combined,Lasso,-0.31554637939471974,6.959318274873667,5.152823581426305,-0.11303767322581079,0.2986250625449687
Combined,Elastic Net,-0.29873680591325424,6.914713511194141,5.2257209358255166,-0.09691143467604997,0.294694990597574
Combined,Bayesian Ridge,-0.4249082796952204,7.2428096571734795,5.259197652860991,-0.08929344087662676,0.39337776030122673
Combined,Random Forest,0.9530660832613898,1.314489181861444,1.12513846153846,0.8679829103708379,0.10427448217551792
Combined,Extra Trees,0.8735343594036525,2.15774386802513,1.1984923076923342,0.9151918660363432,0.06854404923278606
Combined,AdaBoost,0.9841459862236548,0.7639821868274401,0.6206813186813174,0.8806128800004152,0.09160170541539928
Combined,XGBoost,0.925600422591615,1.6550032514890602,1.2125130638709436,0.922164379781892,0.07151227227838733
Combined,LightGBM,-0.08579315571092727,6.32247567104378,5.568779842063034,-0.1547003980033228,0.11760657248504361
Combined,CatBoost,0.9310506994168309,1.5932302717477822,1.1705623347433187,0.9123657829091559,0.07854027158943902
Combined,SVR,-0.4524112947904708,7.312374504503979,5.213198990241883,-0.0784806299474198,0.17425894528588148
Combined,Gaussian Process,-83.89996203331083,55.90715146218223,55.57692307692308,-27.436542461893318,52.3941413914506
