cement_opc,scm_flyash,scm_ggbs,crushed_sand,w_b,hrwr_b,perc_of_fibre,fiber_length,fiber_diameter,tensile_strength,density,youngs_modulus,No_of_days_of_NaCl_Exposure,compressive_stregth
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,30,52.43
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,60,56.92
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,90,58.47
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,120,59.31
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,150,59.85
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,180,59.98
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,210,60.12
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,240,60.58
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,270,61.7
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,300,60.81
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,330,60.97
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,360,61.08
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,390,61.23
1,0.8,0.4,0.36,0.28,0.014,1.4,12,0.05,400,910,3.5,420,61.56
